




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_A549.intersect.G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_A549.intersect.G4.genes_uniq.txt (6328)	H3K27ac_A549.intersect.G4.genes_uniq.txt (expected)	H3K27ac_A549.intersect.G4.genes_uniq.txt (over/under)	H3K27ac_A549.intersect.G4.genes_uniq.txt (fold Enrichment)	H3K27ac_A549.intersect.G4.genes_uniq.txt (raw P-value)	H3K27ac_A549.intersect.G4.genes_uniq.txt (FDR)
mitotic DNA damage checkpoint signaling (GO:0044773)	119	80	36.56	+	2.19	1.40E-07	8.11E-06
regulation of mRNA stability (GO:0043488)	241	133	74.05	+	1.80	1.43E-07	8.27E-06
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	33	79.27	-	.42	1.47E-07	8.44E-06
nucleocytoplasmic transport (GO:0006913)	261	141	80.19	+	1.76	1.50E-07	8.59E-06
membrane organization (GO:0061024)	972	406	298.66	+	1.36	1.72E-07	9.82E-06
organophosphate biosynthetic process (GO:0090407)	552	253	169.61	+	1.49	1.91E-07	1.09E-05
response to UV (GO:0009411)	151	94	46.40	+	2.03	1.93E-07	1.09E-05
peptide metabolic process (GO:0006518)	544	250	167.15	+	1.50	1.99E-07	1.12E-05
nuclear division (GO:0000280)	339	171	104.16	+	1.64	2.10E-07	1.18E-05
negative regulation of translation (GO:0017148)	184	108	56.54	+	1.91	2.18E-07	1.22E-05
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	26	68.21	-	.38	2.27E-07	1.27E-05
organelle localization by membrane tethering (GO:0140056)	170	102	52.23	+	1.95	2.51E-07	1.40E-05
regulation of inflammatory response (GO:0050727)	518	92	159.16	-	.58	2.72E-07	1.51E-05
regulation of protein stability (GO:0031647)	306	157	94.02	+	1.67	3.17E-07	1.75E-05
ribosome biogenesis (GO:0042254)	329	166	101.09	+	1.64	3.27E-07	1.80E-05
regulation of autophagy (GO:0010506)	331	167	101.70	+	1.64	3.49E-07	1.91E-05
sister chromatid segregation (GO:0000819)	149	92	45.78	+	2.01	3.51E-07	1.92E-05
regulation of response to DNA damage stimulus (GO:2001020)	223	123	68.52	+	1.80	3.83E-07	2.08E-05
nucleobase-containing compound catabolic process (GO:0034655)	373	183	114.61	+	1.60	3.82E-07	2.08E-05
positive regulation of B cell activation (GO:0050871)	171	17	52.54	-	.32	3.86E-07	2.09E-05
phagocytosis, engulfment (GO:0006911)	132	10	40.56	-	.25	4.14E-07	2.23E-05
protein deubiquitination (GO:0016579)	278	145	85.42	+	1.70	4.29E-07	2.31E-05
biological regulation (GO:0065007)	12568	4084	3861.63	+	1.06	4.52E-07	2.42E-05
regulation of humoral immune response (GO:0002920)	142	12	43.63	-	.28	4.67E-07	2.49E-05
organophosphate metabolic process (GO:0019637)	894	374	274.69	+	1.36	4.91E-07	2.61E-05
ciliary basal body-plasma membrane docking (GO:0097711)	95	67	29.19	+	2.30	5.41E-07	2.87E-05
negative regulation of transcription, DNA-templated (GO:0045892)	1297	515	398.51	+	1.29	5.80E-07	3.07E-05
regulation of protein ubiquitination (GO:0031396)	213	118	65.45	+	1.80	5.88E-07	3.10E-05
regulation of cell cycle G1/S phase transition (GO:1902806)	178	103	54.69	+	1.88	6.14E-07	3.23E-05
cell death (GO:0008219)	1086	441	333.68	+	1.32	6.38E-07	3.34E-05
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	515	399.13	+	1.29	6.82E-07	3.56E-05
regulation of biological process (GO:0050789)	11898	3878	3655.77	+	1.06	6.99E-07	3.62E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1301	515	399.74	+	1.29	6.98E-07	3.63E-05
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	17	51.31	-	.33	7.48E-07	3.87E-05
ncRNA transcription (GO:0098781)	94	66	28.88	+	2.29	7.57E-07	3.90E-05
defense response to other organism (GO:0098542)	1038	226	318.93	-	.71	7.99E-07	4.10E-05
regulation of transferase activity (GO:0051338)	1033	421	317.40	+	1.33	8.03E-07	4.11E-05
neuropeptide signaling pathway (GO:0007218)	109	7	33.49	-	.21	8.07E-07	4.12E-05
protein-containing complex localization (GO:0031503)	259	136	79.58	+	1.71	8.12E-07	4.13E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	93	47.93	+	1.94	8.52E-07	4.32E-05
regulation of intracellular protein transport (GO:0033157)	256	134	78.66	+	1.70	9.79E-07	4.95E-05
antimicrobial humoral response (GO:0019730)	154	15	47.32	-	.32	1.04E-06	5.22E-05
programmed cell death (GO:0012501)	1050	426	322.62	+	1.32	1.12E-06	5.61E-05
regulation of intracellular signal transduction (GO:1902531)	1839	696	565.05	+	1.23	1.23E-06	6.13E-05
mitochondrial membrane organization (GO:0007006)	146	88	44.86	+	1.96	1.25E-06	6.23E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	38	82.65	-	.46	1.26E-06	6.25E-05
biological adhesion (GO:0022610)	959	207	294.66	-	.70	1.26E-06	6.26E-05
regulation of protein catabolic process (GO:0042176)	398	189	122.29	+	1.55	1.29E-06	6.35E-05
leukocyte migration (GO:0050900)	379	63	116.45	-	.54	1.36E-06	6.72E-05
nuclear export (GO:0051168)	166	96	51.01	+	1.88	1.60E-06	7.86E-05
positive regulation of intracellular transport (GO:0032388)	228	122	70.06	+	1.74	1.65E-06	8.08E-05
regulation of catalytic activity (GO:0050790)	2433	892	747.56	+	1.19	1.89E-06	9.24E-05
keratinocyte differentiation (GO:0030216)	270	39	82.96	-	.47	1.94E-06	9.44E-05
cell adhesion (GO:0007155)	953	207	292.82	-	.71	2.02E-06	9.80E-05
positive regulation of cellular protein localization (GO:1903829)	306	152	94.02	+	1.62	2.08E-06	1.01E-04
RNA catabolic process (GO:0006401)	248	129	76.20	+	1.69	2.17E-06	1.05E-04
regulation of cellular process (GO:0050794)	11351	3701	3487.70	+	1.06	2.36E-06	1.14E-04
regulation of DNA metabolic process (GO:0051052)	372	177	114.30	+	1.55	2.64E-06	1.26E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	71	34.11	+	2.08	2.68E-06	1.28E-04
blood circulation (GO:0008015)	390	67	119.83	-	.56	2.71E-06	1.29E-04
negative regulation of protein metabolic process (GO:0051248)	1112	443	341.67	+	1.30	2.77E-06	1.31E-04
rRNA processing (GO:0006364)	262	134	80.50	+	1.66	2.83E-06	1.34E-04
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	52	21.51	+	2.42	2.88E-06	1.36E-04
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	85	43.94	+	1.93	2.98E-06	1.40E-04
regulation of cell activation (GO:0050865)	664	134	204.02	-	.66	2.98E-06	1.40E-04
protein-containing complex disassembly (GO:0032984)	228	120	70.06	+	1.71	3.03E-06	1.42E-04
nucleotide-excision repair (GO:0006289)	104	68	31.95	+	2.13	3.09E-06	1.44E-04
rRNA metabolic process (GO:0016072)	272	138	83.57	+	1.65	3.12E-06	1.45E-04
regulation of signal transduction (GO:0009966)	3128	1117	961.11	+	1.16	3.23E-06	1.50E-04
regulation of establishment of protein localization (GO:0070201)	581	254	178.52	+	1.42	3.26E-06	1.50E-04
regulation of RNA splicing (GO:0043484)	150	88	46.09	+	1.91	3.28E-06	1.51E-04
phospholipid biosynthetic process (GO:0008654)	289	144	88.80	+	1.62	3.35E-06	1.54E-04
regulation of immune effector process (GO:0002697)	435	78	133.66	-	.58	3.43E-06	1.57E-04
endomembrane system organization (GO:0010256)	530	235	162.85	+	1.44	3.49E-06	1.60E-04
response to abiotic stimulus (GO:0009628)	1175	464	361.03	+	1.29	3.58E-06	1.63E-04
macroautophagy (GO:0016236)	199	108	61.14	+	1.77	3.58E-06	1.63E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	941	797.34	+	1.18	3.85E-06	1.74E-04
localization within membrane (GO:0051668)	615	266	188.96	+	1.41	3.90E-06	1.76E-04
negative regulation of immune system process (GO:0002683)	597	118	183.43	-	.64	3.93E-06	1.77E-04
mRNA catabolic process (GO:0006402)	215	114	66.06	+	1.73	4.15E-06	1.86E-04
negative regulation of response to external stimulus (GO:0032102)	559	109	171.76	-	.63	4.55E-06	2.04E-04
plasma membrane bounded cell projection assembly (GO:0120031)	472	213	145.03	+	1.47	4.68E-06	2.09E-04
protein polyubiquitination (GO:0000209)	325	157	99.86	+	1.57	4.86E-06	2.16E-04
protein folding (GO:0006457)	233	121	71.59	+	1.69	4.90E-06	2.18E-04
snRNA transcription (GO:0009301)	71	52	21.82	+	2.38	5.05E-06	2.23E-04
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	52	21.82	+	2.38	5.05E-06	2.24E-04
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	72	35.33	+	2.04	5.23E-06	2.30E-04
cell projection assembly (GO:0030031)	488	218	149.94	+	1.45	5.29E-06	2.32E-04
positive regulation of chromosome organization (GO:2001252)	182	100	55.92	+	1.79	5.39E-06	2.36E-04
protein phosphorylation (GO:0006468)	685	290	210.47	+	1.38	5.39E-06	2.36E-04
mitotic sister chromatid segregation (GO:0000070)	121	74	37.18	+	1.99	5.79E-06	2.52E-04
negative regulation of inflammatory response (GO:0050728)	320	52	98.32	-	.53	6.16E-06	2.68E-04
positive regulation of intracellular protein transport (GO:0090316)	185	101	56.84	+	1.78	6.23E-06	2.70E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	147	92.48	+	1.59	6.37E-06	2.75E-04
heterocycle catabolic process (GO:0046700)	417	191	128.13	+	1.49	6.44E-06	2.77E-04
positive regulation of protein ubiquitination (GO:0031398)	123	75	37.79	+	1.98	6.53E-06	2.81E-04
vesicle-mediated transport (GO:0016192)	1969	730	604.99	+	1.21	6.74E-06	2.89E-04
nuclear chromosome segregation (GO:0098813)	227	118	69.75	+	1.69	6.77E-06	2.89E-04
cell-cell adhesion (GO:0098609)	515	99	158.24	-	.63	7.07E-06	3.01E-04
snRNA transcription by RNA polymerase II (GO:0042795)	70	51	21.51	+	2.37	7.15E-06	3.03E-04
negative regulation of cellular protein metabolic process (GO:0032269)	1040	414	319.55	+	1.30	7.15E-06	3.04E-04
signaling (GO:0023052)	5565	1531	1709.90	-	.90	7.24E-06	3.06E-04
external encapsulating structure organization (GO:0045229)	386	68	118.60	-	.57	7.35E-06	3.10E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	105	59.92	+	1.75	7.38E-06	3.10E-04
regulation of leukocyte activation (GO:0002694)	622	126	191.12	-	.66	7.77E-06	3.25E-04
positive regulation of mRNA metabolic process (GO:1903313)	136	80	41.79	+	1.91	7.77E-06	3.26E-04
double-strand break repair via homologous recombination (GO:0000724)	101	65	31.03	+	2.09	7.97E-06	3.32E-04
ERAD pathway (GO:0036503)	92	61	28.27	+	2.16	8.12E-06	3.38E-04
aromatic compound catabolic process (GO:0019439)	438	198	134.58	+	1.47	8.22E-06	3.41E-04
cell cycle G2/M phase transition (GO:0044839)	143	83	43.94	+	1.89	8.46E-06	3.50E-04
positive regulation of cell activation (GO:0050867)	440	81	135.19	-	.60	8.51E-06	3.51E-04
establishment of protein localization to membrane (GO:0090150)	313	151	96.17	+	1.57	9.09E-06	3.74E-04
extracellular structure organization (GO:0043062)	384	68	117.99	-	.58	9.14E-06	3.74E-04
positive regulation of lymphocyte activation (GO:0051251)	384	68	117.99	-	.58	9.14E-06	3.75E-04
positive regulation of cellular amide metabolic process (GO:0034250)	168	93	51.62	+	1.80	9.32E-06	3.81E-04
endosomal transport (GO:0016197)	235	120	72.21	+	1.66	9.37E-06	3.82E-04
innate immune response (GO:0045087)	848	185	260.56	-	.71	9.78E-06	3.98E-04
recombinational repair (GO:0000725)	103	65	31.65	+	2.05	9.82E-06	3.98E-04
regulation of translational initiation (GO:0006446)	81	55	24.89	+	2.21	1.03E-05	4.16E-04
positive regulation of leukocyte activation (GO:0002696)	429	79	131.81	-	.60	1.08E-05	4.35E-04
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	44	17.82	+	2.47	1.10E-05	4.43E-04
positive regulation of establishment of protein localization (GO:1904951)	347	163	106.62	+	1.53	1.13E-05	4.52E-04
regulation of molecular function (GO:0065009)	3118	1105	958.03	+	1.15	1.14E-05	4.56E-04
extracellular matrix organization (GO:0030198)	383	68	117.68	-	.58	1.15E-05	4.58E-04
in utero embryonic development (GO:0001701)	366	170	112.46	+	1.51	1.15E-05	4.58E-04
positive regulation of protein modification process (GO:0031401)	1079	425	331.53	+	1.28	1.15E-05	4.59E-04
cilium assembly (GO:0060271)	385	177	118.29	+	1.50	1.16E-05	4.61E-04
peptidyl-lysine modification (GO:0018205)	305	147	93.71	+	1.57	1.17E-05	4.63E-04
trans-synaptic signaling (GO:0099537)	432	80	132.74	-	.60	1.17E-05	4.63E-04
response to light stimulus (GO:0009416)	316	151	97.09	+	1.56	1.26E-05	4.95E-04
regulation of cellular component biogenesis (GO:0044087)	974	388	299.27	+	1.30	1.27E-05	4.96E-04
cellular component disassembly (GO:0022411)	409	186	125.67	+	1.48	1.27E-05	4.98E-04
regulation of cell death (GO:0010941)	1668	625	512.51	+	1.22	1.33E-05	5.21E-04
cellular nitrogen compound catabolic process (GO:0044270)	423	191	129.97	+	1.47	1.39E-05	5.39E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	364	278.38	+	1.31	1.39E-05	5.41E-04
G2/M transition of mitotic cell cycle (GO:0000086)	141	81	43.32	+	1.87	1.48E-05	5.75E-04
RNA localization (GO:0006403)	212	110	65.14	+	1.69	1.53E-05	5.90E-04
protein dephosphorylation (GO:0006470)	212	110	65.14	+	1.69	1.53E-05	5.92E-04
IRE1-mediated unfolded protein response (GO:0036498)	54	42	16.59	+	2.53	1.60E-05	6.14E-04
microtubule organizing center organization (GO:0031023)	100	63	30.73	+	2.05	1.61E-05	6.18E-04
regulation of programmed cell death (GO:0043067)	1532	578	470.72	+	1.23	1.64E-05	6.28E-04
ribonucleoprotein complex export from nucleus (GO:0071426)	126	74	38.71	+	1.91	1.69E-05	6.43E-04
regulation of protein transport (GO:0051223)	556	239	170.84	+	1.40	1.72E-05	6.57E-04
organic cyclic compound catabolic process (GO:1901361)	466	206	143.18	+	1.44	1.74E-05	6.62E-04
negative regulation of signal transduction (GO:0009968)	1305	500	400.97	+	1.25	1.83E-05	6.94E-04
protein targeting to membrane (GO:0006612)	182	97	55.92	+	1.73	1.86E-05	7.05E-04
vacuole organization (GO:0007033)	145	82	44.55	+	1.84	1.87E-05	7.06E-04
DNA-templated transcription, termination (GO:0006353)	79	53	24.27	+	2.18	1.96E-05	7.37E-04
regulation of blood pressure (GO:0008217)	188	25	57.76	-	.43	2.07E-05	7.74E-04
anterograde trans-synaptic signaling (GO:0098916)	414	77	127.21	-	.61	2.07E-05	7.75E-04
dephosphorylation (GO:0016311)	317	150	97.40	+	1.54	2.08E-05	7.76E-04
chemical synaptic transmission (GO:0007268)	414	77	127.21	-	.61	2.07E-05	7.77E-04
regulation of B cell activation (GO:0050864)	216	31	66.37	-	.47	2.10E-05	7.80E-04
regulation of lymphocyte activation (GO:0051249)	536	107	164.69	-	.65	2.15E-05	7.99E-04
regulation of mitochondrion organization (GO:0010821)	160	88	49.16	+	1.79	2.18E-05	8.07E-04
response to ionizing radiation (GO:0010212)	148	83	45.47	+	1.83	2.21E-05	8.14E-04
epidermal cell differentiation (GO:0009913)	322	55	98.94	-	.56	2.22E-05	8.18E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	113	68.21	+	1.66	2.25E-05	8.28E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	12.90	-	 < 0.01	2.50E-05	9.15E-04
ribonucleoprotein complex localization (GO:0071166)	127	74	39.02	+	1.90	2.50E-05	9.16E-04
inflammatory response (GO:0006954)	498	98	153.02	-	.64	2.52E-05	9.16E-04
ribonucleoprotein complex subunit organization (GO:0071826)	196	102	60.22	+	1.69	2.52E-05	9.17E-04
regulation of cellular protein catabolic process (GO:1903362)	256	126	78.66	+	1.60	2.51E-05	9.17E-04
plasma membrane invagination (GO:0099024)	141	16	43.32	-	.37	2.69E-05	9.76E-04
circulatory system process (GO:0003013)	481	94	147.79	-	.64	2.80E-05	1.01E-03
protein localization to membrane (GO:0072657)	542	232	166.53	+	1.39	2.90E-05	1.04E-03
cilium organization (GO:0044782)	408	183	125.36	+	1.46	2.89E-05	1.04E-03
positive regulation of protein transport (GO:0051222)	331	154	101.70	+	1.51	2.98E-05	1.07E-03
regulation of cell communication (GO:0010646)	3509	1224	1078.17	+	1.14	3.00E-05	1.07E-03
mRNA transport (GO:0051028)	160	87	49.16	+	1.77	3.01E-05	1.08E-03
regulation of apoptotic process (GO:0042981)	1493	561	458.74	+	1.22	3.02E-05	1.08E-03
response to starvation (GO:0042594)	232	116	71.28	+	1.63	3.21E-05	1.14E-03
protein localization to endoplasmic reticulum (GO:0070972)	143	80	43.94	+	1.82	3.23E-05	1.15E-03
regulation of telomere maintenance (GO:0032204)	81	53	24.89	+	2.13	3.51E-05	1.24E-03
lymphocyte chemotaxis (GO:0048247)	49	1	15.06	-	.07	3.63E-05	1.28E-03
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	15	41.17	-	.36	3.86E-05	1.36E-03
nucleobase-containing compound transport (GO:0015931)	245	120	75.28	+	1.59	3.89E-05	1.37E-03
transcription-coupled nucleotide-excision repair (GO:0006283)	73	49	22.43	+	2.18	3.92E-05	1.38E-03
small molecule metabolic process (GO:0044281)	1622	603	498.37	+	1.21	4.12E-05	1.44E-03
negative regulation of intracellular signal transduction (GO:1902532)	507	218	155.78	+	1.40	4.23E-05	1.48E-03
positive regulation of DNA metabolic process (GO:0051054)	202	103	62.07	+	1.66	4.26E-05	1.49E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	87	49.47	+	1.76	4.27E-05	1.49E-03
macromolecule methylation (GO:0043414)	257	125	78.97	+	1.58	4.31E-05	1.50E-03
DNA recombination (GO:0006310)	225	112	69.13	+	1.62	4.34E-05	1.50E-03
positive regulation of cell cycle (GO:0045787)	310	145	95.25	+	1.52	4.39E-05	1.52E-03
negative regulation of immune response (GO:0050777)	373	69	114.61	-	.60	4.44E-05	1.53E-03
positive regulation of translation (GO:0045727)	137	77	42.09	+	1.83	4.48E-05	1.54E-03
positive regulation of molecular function (GO:0044093)	1618	601	497.15	+	1.21	4.51E-05	1.55E-03
Wnt signaling pathway (GO:0016055)	350	160	107.54	+	1.49	4.64E-05	1.59E-03
regulation of phosphorus metabolic process (GO:0051174)	1578	587	484.85	+	1.21	4.66E-05	1.59E-03
cell-cell signaling by wnt (GO:0198738)	350	160	107.54	+	1.49	4.64E-05	1.59E-03
regulation of phosphate metabolic process (GO:0019220)	1578	587	484.85	+	1.21	4.66E-05	1.59E-03
methylation (GO:0032259)	313	146	96.17	+	1.52	4.74E-05	1.61E-03
transport along microtubule (GO:0010970)	157	85	48.24	+	1.76	4.79E-05	1.62E-03
regulation of signaling (GO:0023051)	3545	1232	1089.23	+	1.13	4.81E-05	1.63E-03
protein stabilization (GO:0050821)	198	101	60.84	+	1.66	4.86E-05	1.64E-03
regulation of phosphorylation (GO:0042325)	1391	524	427.40	+	1.23	4.96E-05	1.67E-03
regulation of TOR signaling (GO:0032006)	100	61	30.73	+	1.99	5.04E-05	1.70E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	50	23.35	+	2.14	5.10E-05	1.71E-03
viral gene expression (GO:0019080)	172	91	52.85	+	1.72	5.21E-05	1.74E-03
response to other organism (GO:0051707)	1425	348	437.84	-	.79	5.56E-05	1.86E-03
response to external biotic stimulus (GO:0043207)	1426	348	438.15	-	.79	5.57E-05	1.86E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	9	30.42	-	.30	5.63E-05	1.87E-03
regulation of ion transport (GO:0043269)	703	153	216.00	-	.71	5.79E-05	1.91E-03
regulation of macroautophagy (GO:0016241)	161	86	49.47	+	1.74	5.78E-05	1.92E-03
regulation of microtubule-based process (GO:0032886)	242	118	74.36	+	1.59	5.78E-05	1.92E-03
RNA export from nucleus (GO:0006405)	124	71	38.10	+	1.86	5.82E-05	1.92E-03
ribonucleoprotein complex assembly (GO:0022618)	189	97	58.07	+	1.67	5.95E-05	1.96E-03
cell communication (GO:0007154)	5656	1577	1737.86	-	.91	6.20E-05	2.04E-03
establishment of RNA localization (GO:0051236)	191	98	58.69	+	1.67	6.36E-05	2.09E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	51	24.27	+	2.10	6.60E-05	2.16E-03
microtubule-based transport (GO:0099111)	192	98	58.99	+	1.66	6.64E-05	2.17E-03
regulation of proteasomal protein catabolic process (GO:0061136)	187	96	57.46	+	1.67	7.20E-05	2.35E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	7	26.42	-	.26	7.30E-05	2.38E-03
positive regulation of immune system process (GO:0002684)	1069	252	328.46	-	.77	7.44E-05	2.40E-03
sensory perception of taste (GO:0050909)	69	4	21.20	-	.19	7.42E-05	2.40E-03
negative regulation of cell communication (GO:0010648)	1401	525	430.47	+	1.22	7.41E-05	2.40E-03
negative regulation of signaling (GO:0023057)	1405	526	431.70	+	1.22	7.57E-05	2.44E-03
positive regulation of catalytic activity (GO:0043085)	1240	470	381.00	+	1.23	7.78E-05	2.50E-03
phospholipid metabolic process (GO:0006644)	398	176	122.29	+	1.44	8.09E-05	2.59E-03
cellular response to starvation (GO:0009267)	190	97	58.38	+	1.66	8.09E-05	2.60E-03
negative regulation of cellular component organization (GO:0051129)	724	292	222.46	+	1.31	8.60E-05	2.74E-03
signal transduction (GO:0007165)	5227	1452	1606.04	-	.90	8.58E-05	2.74E-03
regulation of immune system process (GO:0002682)	1717	432	527.56	-	.82	8.63E-05	2.75E-03
phosphatidylinositol biosynthetic process (GO:0006661)	144	78	44.25	+	1.76	8.85E-05	2.81E-03
negative regulation of protein modification process (GO:0031400)	558	233	171.45	+	1.36	8.84E-05	2.81E-03
cytoskeleton-dependent intracellular transport (GO:0030705)	194	98	59.61	+	1.64	9.38E-05	2.97E-03
establishment of vesicle localization (GO:0051650)	202	101	62.07	+	1.63	9.56E-05	3.02E-03
regulation of apoptotic signaling pathway (GO:2001233)	354	159	108.77	+	1.46	9.55E-05	3.02E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	87	51.01	+	1.71	9.67E-05	3.04E-03
mRNA 3'-end processing (GO:0031124)	88	54	27.04	+	2.00	9.67E-05	3.04E-03
telomere maintenance (GO:0000723)	99	59	30.42	+	1.94	9.79E-05	3.07E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	11.06	-	 < 0.01	9.82E-05	3.07E-03
vesicle targeting (GO:0006903)	94	57	28.88	+	1.97	9.94E-05	3.10E-03
glycerophospholipid biosynthetic process (GO:0046474)	252	120	77.43	+	1.55	1.01E-04	3.14E-03
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	66	35.64	+	1.85	1.01E-04	3.15E-03
DNA-templated transcription, elongation (GO:0006354)	79	50	24.27	+	2.06	1.01E-04	3.16E-03
nucleic acid transport (GO:0050657)	189	96	58.07	+	1.65	1.03E-04	3.17E-03
RNA transport (GO:0050658)	189	96	58.07	+	1.65	1.03E-04	3.18E-03
tRNA metabolic process (GO:0006399)	190	96	58.38	+	1.64	1.07E-04	3.30E-03
protein localization to nucleus (GO:0034504)	168	87	51.62	+	1.69	1.08E-04	3.32E-03
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	48	23.04	+	2.08	1.10E-04	3.38E-03
protein targeting to ER (GO:0045047)	112	64	34.41	+	1.86	1.14E-04	3.49E-03
translational initiation (GO:0006413)	143	77	43.94	+	1.75	1.15E-04	3.52E-03
vesicle organization (GO:0016050)	313	143	96.17	+	1.49	1.16E-04	3.53E-03
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	10	31.34	-	.32	1.17E-04	3.57E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	60	31.34	+	1.91	1.19E-04	3.63E-03
signal transduction by p53 class mediator (GO:0072331)	119	67	36.56	+	1.83	1.19E-04	3.63E-03
regulation of kinase activity (GO:0043549)	914	356	280.83	+	1.27	1.26E-04	3.83E-03
regulation of immune response (GO:0050776)	1183	285	363.49	-	.78	1.26E-04	3.83E-03
telomere organization (GO:0032200)	103	60	31.65	+	1.90	1.29E-04	3.90E-03
embryo development ending in birth or egg hatching (GO:0009792)	633	258	194.49	+	1.33	1.33E-04	4.00E-03
regulation of mitochondrial membrane permeability (GO:0046902)	78	49	23.97	+	2.04	1.38E-04	4.15E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	63	33.80	+	1.86	1.39E-04	4.16E-03
mRNA export from nucleus (GO:0006406)	110	63	33.80	+	1.86	1.39E-04	4.16E-03
DNA conformation change (GO:0071103)	312	142	95.86	+	1.48	1.40E-04	4.20E-03
chordate embryonic development (GO:0043009)	613	251	188.35	+	1.33	1.45E-04	4.34E-03
negative regulation of organelle organization (GO:0010639)	334	150	102.62	+	1.46	1.46E-04	4.36E-03
regulation of small molecule metabolic process (GO:0062012)	421	182	129.36	+	1.41	1.46E-04	4.37E-03
RNA 3'-end processing (GO:0031123)	142	76	43.63	+	1.74	1.49E-04	4.41E-03
response to insulin (GO:0032868)	241	115	74.05	+	1.55	1.50E-04	4.46E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	10	30.73	-	.33	1.63E-04	4.82E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	42	19.05	+	2.20	1.67E-04	4.93E-03
protein import (GO:0017038)	158	82	48.55	+	1.69	1.67E-04	4.93E-03
G1/S transition of mitotic cell cycle (GO:0000082)	102	59	31.34	+	1.88	1.71E-04	5.04E-03
regulation of telomere maintenance via telomerase (GO:0032210)	54	38	16.59	+	2.29	1.71E-04	5.04E-03
lipid biosynthetic process (GO:0008610)	630	256	193.57	+	1.32	1.75E-04	5.14E-03
cellular response to radiation (GO:0071478)	181	91	55.61	+	1.64	1.76E-04	5.14E-03
viral life cycle (GO:0019058)	230	110	70.67	+	1.56	1.80E-04	5.27E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	62	33.49	+	1.85	1.83E-04	5.34E-03
synaptic signaling (GO:0099536)	464	95	142.57	-	.67	1.85E-04	5.38E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	72	41.17	+	1.75	1.90E-04	5.53E-03
cell cycle G1/S phase transition (GO:0044843)	104	60	31.95	+	1.88	1.92E-04	5.57E-03
nucleus organization (GO:0006997)	148	78	45.47	+	1.72	1.94E-04	5.61E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	515	215	158.24	+	1.36	1.96E-04	5.66E-03
centrosome cycle (GO:0007098)	88	53	27.04	+	1.96	1.96E-04	5.66E-03
positive regulation of mRNA catabolic process (GO:0061014)	105	60	32.26	+	1.86	2.04E-04	5.88E-03
apoptotic signaling pathway (GO:0097190)	281	129	86.34	+	1.49	2.09E-04	6.00E-03
glycerolipid biosynthetic process (GO:0045017)	272	126	83.57	+	1.51	2.11E-04	6.04E-03
positive regulation of transferase activity (GO:0051347)	693	277	212.93	+	1.30	2.11E-04	6.04E-03
